S.No,Model,Category Code,Category,Estimated Energy (kWh),Avg CO2 Emission (g),Tokens Used,Grid Intensity (gCO2/kWh),Measurement Method,Source Reference,Experiment Batch ID
343,GPT-4,P2,Physics Mechanics,0.001,0.5424,430,623,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-2
344,Llama-3 70B,M2,Math Algebra,0.0004077,0.17548,1209,240,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-5
345,Grok-1.5,C1,Code Basic,0.001278,0.65,327,623,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-7
346,GPT-4,M5,Math Olympiad,0.0022,1.188,858,623,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-9
347,Llama-3 70B,C3,Code DS/Algo,0.0004,0.23,104,20,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-9
348,Llama-3 70B,G2,General Medium,0.0003994,0.151,1444,20,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-11
349,Llama-3 70B,P4,Physics Quantum,0.0009,0.48,359,240,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-5
350,Claude 3,C3,Code DS/Algo,0.001217,0.37,1762,623,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-14
351,Llama-3 70B,M1,Math Basic,0.0004,0.18367,571,419,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-13
352,GPT-4,R1,Reasoning Basic,0.0009872,0.5347,867,625,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-7
353,GPT-4,M4,Math Advanced,0.0018,0.69,266,20,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-5
354,GPT-4,M1,Math Basic,0.000854,0.327,793,240,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-4
355,Claude 3,P2,Physics Mechanics,0.00099,0.5381,552,419,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-11
356,GPT-4,C2,Code API/JSON,0.001338,0.645,540,20,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-11
357,Claude 3,M5,Math Olympiad,0.0028,1.4101,1508,625,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-7
358,GPT-4,P1,Physics Basic,0.001022,0.504,1462,240,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-3
359,Llama-3 70B,G1,General Short,0.0004,0.1419,1410,625,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-13
360,Llama-3 70B,C3,Code DS/Algo,0.0004,0.17871,1423,240,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-14
361,Grok-1.5,P3,Physics EM,0.00136,0.55,797,625,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-13
362,Llama-3 70B,M5,Math Olympiad,0.0008,0.3046,1368,623,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-5
363,GPT-4,P2,Physics Mechanics,0.00107,0.4904,950,625,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-5
364,Grok-1.5,C1,Code Basic,0.0012424,0.528,1109,625,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-9
365,GPT-4,G2,General Medium,0.00086,,444,623,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-1
366,GPT-4,P4,Physics Quantum,0.002396,1.3236,509,240,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-3
367,Claude 3,M4,Math Advanced,0.0019,0.98,1667,20,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-15
368,Llama-3 70B,R3,Reasoning Puzzle,0.0007,0.25,103,20,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-9
369,GPT-4,C5,Code LeetCode Hard,0.002332,0.99,1042,419,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-10
370,Llama-3 70B,G2,General Medium,0.0003,0.18837,1096,623,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-7
371,GPT-4,C2,Code API/JSON,0.00152,0.6533,1536,623,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-1
372,Llama-3 70B,C2,Code API/JSON,0.000511,,1274,20,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-1
373,Grok-1.5,P1,Physics Basic,0.0015,0.78613,1457,625,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-12
374,Claude 3,M4,Math Advanced,0.0022908,1.17316,1549,623,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-6
375,Grok-1.5,P1,Physics Basic,0.0012861,0.5855,1720,419,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-9
376,Llama-3 70B,R2,Reasoning Logical,0.0003237,0.17,673,625,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-6
377,Llama-3 70B,G3,General Long,0.0002971,0.12319,674,625,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-8
378,Grok-1.5,C1,Code Basic,0.00143,0.785,1513,419,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-3
379,Claude 3,P2,Physics Mechanics,0.0011,0.40266,413,625,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-4
380,Grok-1.5,M5,Math Olympiad,0.0038186,1.526,264,240,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-9
381,Claude 3,C5,Code LeetCode Hard,0.0027269,1.58543,229,625,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-4
382,Claude 3,R2,Reasoning Logical,0.001,0.47,1452,20,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-14
383,GPT-4,M5,Math Olympiad,0.0023,0.97,410,419,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-13
384,Llama-3 70B,P2,Physics Mechanics,0.00042,0.1587,744,623,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-11
385,Llama-3 70B,C4,Code LeetCode Easy,0.000297,0.15,791,625,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-13
386,Llama-3 70B,P4,Physics Quantum,0.000859,0.511,417,625,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-14
387,GPT-4,R1,Reasoning Basic,0.0009867,0.487,1574,625,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-12
388,Grok-1.5,C4,Code LeetCode Easy,0.001307,0.64,196,625,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-2
389,Llama-3 70B,M4,Math Advanced,0.0006429,0.24,530,623,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-3
390,GPT-4,M4,Math Advanced,0.0016438,0.549,804,240,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-2
391,Grok-1.5,P3,Physics EM,0.0015455,0.7897,566,20,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-6
392,Llama-3 70B,P3,Physics EM,0.000323,0.15262,825,240,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-15
393,Grok-1.5,M2,Math Algebra,0.0017,0.926,213,625,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-10
394,Claude 3,P4,Physics Quantum,0.0029,1.02,344,240,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-2
395,Llama-3 70B,M3,Math Calculus,0.000528,0.2,664,625,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-13
396,Grok-1.5,G3,General Long,0.001365,0.53,489,623,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-11
397,Claude 3,P1,Physics Basic,0.001172,0.3746,1714,20,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-15
398,Claude 3,G2,General Medium,0.00104,0.50272,955,419,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-2
399,GPT-4,M1,Math Basic,0.0008974,0.362,741,623,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-9
400,Llama-3 70B,G3,General Long,0.000419,0.21,878,240,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-15
401,GPT-4,M2,Math Algebra,0.0011,0.55,986,20,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-6
402,Claude 3,R1,Reasoning Basic,0.000988,0.42,1525,419,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-4
403,Grok-1.5,P1,Physics Basic,0.0016085,0.72,1590,419,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-14
404,GPT-4,C5,Code LeetCode Hard,0.002,1.193,1352,419,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-10
405,GPT-4,R3,Reasoning Puzzle,0.001781,0.638,1035,623,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-4
406,GPT-4,M5,Math Olympiad,0.0022,0.82,1481,419,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-11
407,GPT-4,P1,Physics Basic,0.001,0.543,719,419,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-5
408,GPT-4,G1,General Short,0.00088,0.32,1218,240,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-11
409,GPT-4,C2,Code API/JSON,0.0014764,0.82205,574,419,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-9
410,Llama-3 70B,M1,Math Basic,0.00037,0.10947,842,625,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-8
411,Llama-3 70B,P3,Physics EM,0.0003821,0.13,792,623,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-14
412,GPT-4,P1,Physics Basic,0.00083,0.3673,841,20,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-8
413,Claude 3,P1,Physics Basic,0.0011,0.41,225,623,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-14
414,Llama-3 70B,C3,Code DS/Algo,0.0004,0.11916,1517,623,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-3
415,Claude 3,C2,Code API/JSON,0.00123,,1382,625,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-12
416,Claude 3,P1,Physics Basic,0.0011,0.35,210,20,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-13
417,Grok-1.5,G3,General Long,0.0015545,0.57,1300,419,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-10
418,Llama-3 70B,P4,Physics Quantum,0.0009844,0.629,1603,623,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-5
419,Grok-1.5,C2,Code API/JSON,0.0018778,0.78,1600,625,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-4
420,Llama-3 70B,M3,Math Calculus,0.0006,0.27,1181,240,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-4
421,Llama-3 70B,G1,General Short,0.0004,0.14,1739,625,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-6
422,Llama-3 70B,M1,Math Basic,0.0003752,0.1969,1034,625,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-15
423,GPT-4,M2,Math Algebra,0.0011033,0.42438,1230,419,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-10
424,Llama-3 70B,P1,Physics Basic,0.0003363,0.199,1002,419,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-8
425,Grok-1.5,P3,Physics EM,0.001255,0.453,1005,623,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-6
426,GPT-4,C1,Code Basic,0.001,0.37968,230,625,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-3
427,Grok-1.5,M4,Math Advanced,0.0026,1.342,518,20,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-5
428,GPT-4,C3,Code DS/Algo,0.00093,0.413,482,20,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-5
429,Grok-1.5,C3,Code DS/Algo,0.0012,0.567,439,623,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-1
430,GPT-4,R1,Reasoning Basic,0.001048,0.531,1461,20,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-2
431,Grok-1.5,P4,Physics Quantum,0.0037,1.9644,1725,623,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-5
432,Llama-3 70B,G3,General Long,0.000412,0.23146,935,20,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-13
433,GPT-4,M5,Math Olympiad,0.00209,0.61,712,625,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-15
434,Llama-3 70B,M5,Math Olympiad,0.00082,0.32,959,20,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-9
435,Claude 3,M2,Math Algebra,0.001261,0.44,1220,419,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-2
436,Claude 3,C2,Code API/JSON,0.0014,0.4523,1640,623,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-8
437,GPT-4,P2,Physics Mechanics,0.000828,0.3766,874,625,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-15
438,Llama-3 70B,P3,Physics EM,0.0003862,0.19,1503,625,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-8
439,Grok-1.5,R1,Reasoning Basic,0.00135,0.7684,263,419,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-12
440,Claude 3,G2,General Medium,0.00096,,911,625,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-7
441,Llama-3 70B,M3,Math Calculus,0.00052,0.1636,1274,623,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-5
442,Llama-3 70B,M3,Math Calculus,0.0006278,0.30912,1291,20,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-3
443,Claude 3,M3,Math Calculus,0.0016,0.776,1317,240,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-13
444,Llama-3 70B,P2,Physics Mechanics,0.000417,0.15428,113,240,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-1
445,Llama-3 70B,C1,Code Basic,0.0004,0.13,646,625,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-9
446,Claude 3,G1,General Short,0.000904,0.27,680,20,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-12
447,Llama-3 70B,M2,Math Algebra,0.0004,0.164,879,623,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-1
448,GPT-4,P4,Physics Quantum,0.0024,1.0782,1576,623,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-4
449,Grok-1.5,M3,Math Calculus,0.0027,1.454,429,20,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-13
450,Grok-1.5,R2,Reasoning Logical,0.0014974,0.72,1021,625,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-7
451,Claude 3,R2,Reasoning Logical,0.0008856,0.41423,344,625,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-10
452,GPT-4,M5,Math Olympiad,0.002611,1.475,798,240,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-15
453,Claude 3,M2,Math Algebra,0.001367,0.59,902,625,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-6
454,Claude 3,G3,General Long,0.00095,0.4544,1791,240,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-3
455,Claude 3,G3,General Long,0.000951,0.53433,1171,240,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-9
456,GPT-4,M4,Math Advanced,0.001929,0.5921,711,623,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-1
457,Llama-3 70B,P1,Physics Basic,0.0003631,0.183,98,240,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-15
458,Claude 3,C4,Code LeetCode Easy,0.001152,0.55142,1273,625,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-12
459,GPT-4,M1,Math Basic,0.00095,0.5199,1423,419,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-14
460,Claude 3,C2,Code API/JSON,0.00167,0.63987,1097,623,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-4
461,GPT-4,M2,Math Algebra,0.001214,,606,20,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-2
462,GPT-4,C3,Code DS/Algo,0.0009,0.498,1622,20,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-5
463,Grok-1.5,G1,General Short,0.0015541,0.85,724,20,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-13
464,Grok-1.5,M5,Math Olympiad,0.0033,1.44,1149,240,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-12
465,GPT-4,G1,General Short,0.00107,,841,240,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-6
466,GPT-4,M5,Math Olympiad,0.00204,1.0294,453,623,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-6
467,Claude 3,R2,Reasoning Logical,0.0012,0.503,228,20,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-8
468,Grok-1.5,M5,Math Olympiad,0.003625,1.56847,524,240,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-8
469,GPT-4,G2,General Medium,0.00105,0.626,423,623,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-4
470,Grok-1.5,P3,Physics EM,0.001522,0.72,1254,240,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-3
471,GPT-4,P3,Physics EM,0.001,0.37,1446,419,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-1
472,GPT-4,M4,Math Advanced,0.0017732,0.77947,155,419,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-1
473,GPT-4,M2,Math Algebra,0.0012,0.55354,799,623,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-4
474,Grok-1.5,G1,General Short,0.0016,0.6,1219,623,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-13
475,GPT-4,C4,Code LeetCode Easy,0.001087,0.53531,1016,625,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-7
476,Claude 3,R3,Reasoning Puzzle,0.002207,0.858,549,240,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-15
477,Grok-1.5,M5,Math Olympiad,0.003195,1.775,192,20,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-13
478,Grok-1.5,C5,Code LeetCode Hard,0.0035884,1.783,1397,623,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-5
479,Llama-3 70B,P1,Physics Basic,0.0003,0.176,1695,625,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-12
480,Claude 3,C4,Code LeetCode Easy,0.0011,0.3818,780,623,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-9
481,Grok-1.5,G2,General Medium,0.0017,0.788,1133,20,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-4
482,Claude 3,M2,Math Algebra,0.0013,0.53435,1666,625,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-14
483,Grok-1.5,P1,Physics Basic,0.001425,0.589,1615,623,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-12
484,Claude 3,G1,General Short,0.0008778,0.4919,1308,240,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-15
485,Grok-1.5,G3,General Long,0.00158,0.67,307,20,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-13
486,GPT-4,P3,Physics EM,0.000937,0.36455,376,240,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-8
487,Grok-1.5,M2,Math Algebra,0.0017735,0.667,722,240,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-15
488,Llama-3 70B,C1,Code Basic,0.000293,0.1109,1729,419,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-3
489,Claude 3,R1,Reasoning Basic,0.00098,0.43,1093,240,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-15
490,GPT-4,G2,General Medium,0.0011559,0.465,1037,20,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-3
491,Grok-1.5,M5,Math Olympiad,0.0031306,1.5272,966,625,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-6
492,Llama-3 70B,C3,Code DS/Algo,0.00035,0.15,273,240,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-3
493,Grok-1.5,R3,Reasoning Puzzle,0.0029,1.79544,1771,240,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-12
494,Grok-1.5,P2,Physics Mechanics,0.00135,0.75034,1262,623,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-9
495,Claude 3,C4,Code LeetCode Easy,0.0011593,0.539,538,623,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-8
496,Grok-1.5,C5,Code LeetCode Hard,0.00351,1.13322,669,623,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-8
497,GPT-4,P4,Physics Quantum,0.00194,0.6191,688,625,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-3
498,Claude 3,G1,General Short,0.0010863,0.4636,822,623,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-6
499,GPT-4,G2,General Medium,0.00112,0.581,704,419,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-13
500,Llama-3 70B,M2,Math Algebra,0.000471,,177,240,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-8
501,Claude 3,M4,Math Advanced,0.0023177,1.02,361,20,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-10
502,Claude 3,G1,General Short,0.0009,0.294,102,20,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-7
503,GPT-4,C5,Code LeetCode Hard,0.00224,1.1783,1196,623,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-14
504,GPT-4,P1,Physics Basic,0.0009,0.57,864,419,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-13
505,Grok-1.5,P2,Physics Mechanics,0.00121,0.491,493,419,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-5
506,GPT-4,M5,Math Olympiad,0.00232,0.8485,1312,625,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-12
507,Claude 3,C2,Code API/JSON,0.0015,,276,20,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-1
508,Claude 3,P1,Physics Basic,0.0009812,0.429,910,419,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-13
509,GPT-4,G2,General Medium,0.000772,0.246,1267,240,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-9
510,Claude 3,R1,Reasoning Basic,0.001,0.352,987,623,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-5
511,Grok-1.5,C4,Code LeetCode Easy,0.001605,0.74,930,20,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-9
512,Llama-3 70B,P3,Physics EM,0.0003782,0.19,670,623,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-11
513,Claude 3,M1,Math Basic,0.0010912,0.3933,1370,240,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-1
514,Llama-3 70B,R1,Reasoning Basic,0.000341,0.11,120,623,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-11
515,GPT-4,C1,Code Basic,0.0009,0.398,782,625,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-11
516,Claude 3,P4,Physics Quantum,0.00281,1.00977,672,240,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-4
517,GPT-4,P1,Physics Basic,0.0010012,0.48923,685,240,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-1
518,GPT-4,C2,Code API/JSON,0.0012451,0.50653,937,625,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-8
519,Grok-1.5,M2,Math Algebra,0.00159,0.72,432,240,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-10
520,GPT-4,G3,General Long,0.001,0.385,1499,625,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-4
